1,15000,1
2,380,1
3,7500,1
4,11500,2
5,4000,2
6,4000,1
7,1250,1
8,8300,3
9,7600,1
10,800,1
11,5100,1
12,2100,2
13,15800,1
14,900,1
15,4000,1
16,500,1
17,3450,1
18,7000,1
19,8250,2
20,700,1
21,7000,1
22,12500,5
23,2700,1
24,4000,1
25,380,1
26,5750,1
27,900,2
28,3800,3
29,1500,1
30,1100,1
31,1500,1
32,18500,1
33,14000,1
34,2000,1
35,2200,1
36,3000,2
37,650,1
38,13000,3
39,15250,2
40,4000,3
41,1700,1
42,7200,2
43,6700,1
44,800,1
45,9000,2
46,2700,2
47,5750,2
48,700,1
49,9000,3
50,4000,1
51,420,1
52,1000,1
53,3000,1
54,8000,2
55,21250,2
56,9000,2
57,7500,1
58,850,1
59,7300,1
60,6250,2
61,3200,1
62,9500,1
63,12500,2
64,4000,1
65,500,1
66,14000,2
67,5000,1
68,15000,2
69,1500,1
70,3200,1
71,17100,5
72,7000,1
73,2700,1
74,6500,1
75,12000,1
76,5500,2
77,8750,1
78,20200,4
79,7000,2
80,14000,1
81,11000,2
82,5500,1
83,13000,1
84,9000,1
85,1700,1
86,1700,2
87,12000,4
88,7500,2
89,13000,4
90,7500,1
91,1100,1
92,6500,2
93,6000,1
94,2500,1
95,9750,2
96,700,1
97,10000,1
98,1000,1
99,12750,2
100,2500,1
101,2200,1
102,13000,1
103,9750,4
104,750,1
105,500,1
106,9500,2
107,4700,2
108,11500,2
109,1200,1
110,3000,1
111,800,1
112,1600,1
113,1500,1
114,15000,3
115,12500,4
116,950,1
117,600,1
118,2500,1
119,16000,1
120,8500,1
121,12000,1
122,19000,2
123,9000,2
124,500,1
125,380,1
126,1000,1
127,10500,1
128,27000,4
129,11000,1
130,8000,1
131,11800,4
132,1000,1
133,5000,1
134,13000,1
135,15600,3
136,700,1
137,1000,1
138,14000,2
139,13600,3
140,970,1
141,11000,2
142,500,1
143,2200,2
144,1700,1
145,850,1
146,2700,2
147,1000,1
148,650,1
149,700,1
150,9700,4
151,950,1
152,11000,1
153,3100,1
154,12660,3
155,9000,2
156,14000,2
157,2800,1
158,4100,1
159,2900,2
160,3000,1
161,1250,1
162,3800,1
163,9000,2
164,8000,2
165,1000,1
166,4000,1
167,10500,3
168,4000,1
169,4000,3
170,400,1
171,600,1
172,2500,2
173,3000,1
174,600,1
175,2500,1
176,6500,1
177,6200,2
178,1250,1
179,800,1
180,7000,1
181,500,1
182,3600,2
183,9700,4
184,5000,2
185,9370,3
186,1000,1
187,900,1
188,2700,1
189,1000,1
190,7000,1
191,9000,1
192,390,1
193,6750,3
194,4500,4
195,5250,2
196,950,2
197,2000,2
198,6000,2
199,1000,1
200,1000,1
201,13600,5
202,380,1
203,4000,2
204,6250,1
205,800,1
206,4000,1
207,11500,3
208,5300,3
209,1700,1
210,11700,4
211,10500,2
212,4700,2
213,850,1
214,4600,3
215,11750,2
216,3500,3
217,900,2
218,4500,3
219,2100,2
220,600,1
221,7750,1
222,4300,3
223,4500,1
224,5000,1
225,920,1
226,9500,1
227,5750,1
228,5000,1
229,11100,4
230,14000,5
231,9000,1
232,17600,5
233,13200,4
234,850,1
235,1500,1
236,1000,1
237,3100,1
238,3600,3
239,750,1
240,800,1
241,5300,2
242,850,1
243,1250,1
244,8700,4
245,1500,1
246,750,1
247,16000,0
248,13500,2
249,7500,1
250,3500,1
251,10000,1
252,2200,2
253,1700,2
254,450,1
255,2500,1
256,6000,1
257,5400,1
258,900,1
259,500,1
260,5400,1
261,3570,1
262,4200,2
263,5000,2
264,700,1
265,5500,2
266,700,1
267,1200,1
268,400,1
269,7500,1
270,5100,1
271,1500,1
272,5250,1
273,1070,1
274,7330,3
275,2700,1
276,800,1
277,430,1
278,7000,3
279,4940,1
280,3620,1
281,16100,6
282,620,1
283,4000,1
284,750,1
285,6000,3
286,12000,4
287,800,1
288,6000,1
289,3000,1
290,4000,1
291,900,1
292,9000,4
293,2500,1
294,4430,3
295,6100,1
296,4350,1
297,7330,3
298,6500,2
299,3000,1
300,4320,1
301,9600,5
302,3300,3
303,380,1
304,2000,1
305,380,1
306,3900,1
307,600,1
308,16400,0
309,14500,4
310,8000,3
311,8000,2
312,500,1
313,1000,1
314,1100,1
315,390,1
316,2000,3
317,8300,1
318,530,1
319,17000,7
